Altium Designer Pick and Place Locations
C:\Users\patri\Google Drive\ts_19\Car\5. P&E\Schematics\Experimental Projects\Disco 69 Dash\Revision 2\Project Outputs for Disco 69 Drottle\Pick Place for Disco 69.csv

========================================================================================================================
File Design Information:

Date:       25/11/19
Time:       01:33
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"UNIVERSAL1","DT13-12P","BottomLayer","DT13-12P","103.9250","93.3250","270",""
"U10","RI-0505S","BottomLayer","RECOM_4-SIP","88.0358","80.3961","270","5V DC-DC Converter (2W)"
"P?","39281063","BottomLayer","39281063","95.0000","65.2500","180","Mini-Fit VERT 3x2"
"F1","0ZCF0200AF2C","TopLayer","2920","90.1250","99.2500","270","SMD 24V 2A Fuse"
"R15","680R","TopLayer","0805","116.3000","118.8500","270",""
"D14","Red","TopLayer","0805_LED","192.8889","129.3843","0","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"D13","Red","TopLayer","0805_LED","184.9849","129.3843","0","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"D12","Red","TopLayer","0805_LED","177.0809","129.3843","0","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"D11","Red","TopLayer","0805_LED","169.1769","129.3843","0","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"D10","Red","TopLayer","0805_LED","153.3690","129.3843","0","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)"
